Date,Open,High,Low,Close,Volume,Market Cap
23-Jun-17,35.05,48.58,17.67,45.63,"4,354,180",-
24-Jun-17,44.48,116.4,42.04,101.83,"17,322,100","54,422,400"
25-Jun-17,103.21,168.49,72.49,86.55,"34,331,400","126,269,000"
26-Jun-17,88.17,98.78,49.7,59.9,"9,639,820","107,875,000"
27-Jun-17,59.82,62.31,36.29,53.05,"6,824,330","73,191,200"
28-Jun-17,51.92,58.38,46.21,53.07,"4,397,750","63,517,500"
29-Jun-17,53.26,53.26,38.82,42.89,"3,130,230","65,159,400"
30-Jun-17,42.26,43.96,29.13,34.2,"4,824,820","51,703,800"
1-Jul-17,34.19,68.93,33.29,45.26,"12,854,500","41,835,200"
2-Jul-17,43.12,54.01,39.95,42.87,"3,610,660","52,749,500"
3-Jul-17,43.17,46.92,41.41,41.69,"1,348,590","52,810,600"
4-Jul-17,41.6,43.46,37.38,39.42,"1,917,540","50,895,200"
5-Jul-17,39.39,41.59,37.64,39.03,"829,545","48,195,200"
6-Jul-17,38.6,39.21,32.2,35.79,"1,538,390","47,227,600"
7-Jul-17,36.08,36.88,25.44,29.39,"1,277,090","44,138,900"
8-Jul-17,28.99,30.77,23.66,27.51,"860,141","35,465,600"
9-Jul-17,27.54,30.14,26.83,28.29,"576,144","33,695,700"
10-Jul-17,28.65,31.54,20.99,24.04,"678,731","35,055,400"
11-Jul-17,23.53,26.49,18.33,20.73,"613,446","28,787,300"
12-Jul-17,20.32,32.9,18.75,30.71,"1,538,890","24,856,500"
13-Jul-17,30.83,31.24,25.64,26.82,"453,602","37,715,200"
14-Jul-17,26.8,27.67,21.18,23.24,"424,550","32,787,700"
15-Jul-17,23.2,23.24,18.69,19.05,"269,653","28,383,800"
16-Jul-17,18.99,20.06,16.54,17.49,"213,544","23,236,900"
17-Jul-17,17.46,22.79,17.46,22.69,"272,026","21,363,400"
18-Jul-17,23.11,29.48,20.47,25.31,"550,981","28,272,600"
19-Jul-17,25.08,35.93,23.53,28.23,"1,959,790","30,689,100"
20-Jul-17,27.93,39.44,26.73,35.54,"1,116,080","34,174,900"
21-Jul-17,35.87,38.4,33.27,34.14,"320,166","43,866,500"
22-Jul-17,34.14,41.15,33.96,36.59,"909,922","41,751,100"
23-Jul-17,36.59,37.54,32.41,32.89,"515,553","44,748,100"
24-Jul-17,33.01,36.16,32.04,33.69,"551,830","40,370,800"
25-Jul-17,33.69,33.89,25.92,27.29,"460,800","41,210,000"
26-Jul-17,27.65,28.93,24.75,26.97,"323,792","33,814,100"
27-Jul-17,27.48,28.43,26.25,27.64,"163,616","33,610,800"
28-Jul-17,27.72,28.26,24.15,25.37,"214,957","33,899,000"
29-Jul-17,25.28,26.29,24.13,25.87,"120,964","30,920,300"
30-Jul-17,25.88,27.32,24.76,26.51,"116,912","31,649,900"
31-Jul-17,26.01,26.47,24.69,25.28,"166,615","31,810,000"
1-Aug-17,25.65,30.04,24.18,26.17,"305,623","31,374,200"
2-Aug-17,26.15,29.96,24.75,26.23,"551,211","31,986,000"
3-Aug-17,26.26,28.38,25.59,27.17,"320,060","32,107,700"
4-Aug-17,26.8,28.27,26.47,26.63,"403,184","32,772,500"
5-Aug-17,26.66,30.41,26.59,29.25,"558,040","32,606,100"
6-Aug-17,29.42,29.76,27.6,28.38,"386,351","35,980,100"
7-Aug-17,28.32,30.01,26.7,27.93,"456,117","34,625,700"
8-Aug-17,27.86,28.34,25.22,27.97,"521,900","34,067,900"
9-Aug-17,27.96,33.04,26.79,29.24,"1,128,830","35,034,100"
10-Aug-17,28.84,29.21,26.46,26.46,"748,370","36,136,200"
11-Aug-17,26.46,41.47,26.06,33.64,"3,202,390","33,143,700"
12-Aug-17,34.64,47.85,32.8,43.37,"2,680,510","43,392,300"
13-Aug-17,43.83,46.78,33.13,36.78,"1,431,600","54,913,000"
14-Aug-17,36.8,38.09,32.76,34.65,"763,860","46,104,500"
15-Aug-17,34.85,36.1,30.67,31.23,"763,238","43,659,400"
16-Aug-17,31.27,37.92,30.37,33.62,"864,797","39,176,900"
17-Aug-17,33.79,36.14,31.85,33.92,"739,864","42,325,000"
18-Aug-17,34.17,39.43,31.88,35.03,"1,612,640","42,797,100"
19-Aug-17,35.56,37.01,31.6,34.84,"582,704","44,542,600"
20-Aug-17,34.73,43.36,32.52,42.53,"1,894,140","43,499,200"
21-Aug-17,42.41,48.73,33.48,34.58,"2,145,180","53,121,100"
22-Aug-17,34.75,37.23,31.91,35.61,"561,611","43,526,300"
23-Aug-17,35.53,38.34,34.85,36.49,"443,443","44,506,600"
24-Aug-17,35.6,37.29,34.84,35.39,"466,415","44,577,800"
25-Aug-17,35.51,37.67,32.94,35.24,"845,188","44,468,400"
26-Aug-17,35.31,37.01,33.54,34.93,"363,769","44,220,200"
27-Aug-17,35.16,36.33,34.05,35.53,"372,296","44,033,500"
28-Aug-17,35.56,36.2,34.11,36.07,"402,594","44,537,800"
29-Aug-17,36.12,36.84,34.43,34.92,"489,247","45,236,000"
30-Aug-17,34.89,38.4,34.61,35.84,"549,569","43,694,000"
31-Aug-17,35.78,36.6,34.27,35.62,"452,411","44,776,600"
1-Sep-17,35.67,35.9,31.35,32.45,"1,024,920","44,636,600"
2-Sep-17,32.49,33.01,26.79,27.24,"633,861","40,658,600"
3-Sep-17,27.7,29.36,24.99,26.9,"493,926","34,662,300"
4-Sep-17,26.91,27.34,17.99,20.74,"716,231","33,673,500"
5-Sep-17,20.87,23.62,18.91,21.53,"349,885","26,115,800"
6-Sep-17,21.64,26.31,20.75,22.38,"473,273","27,076,900"
7-Sep-17,22.34,23.16,20.41,21.53,"262,532","27,947,600"
8-Sep-17,21.53,23.25,18.28,19.13,"305,855","26,935,100"
9-Sep-17,19.17,25.34,17.42,22.97,"1,345,530","23,977,600"
10-Sep-17,23.04,27.28,19.26,21.24,"1,448,320","28,821,700"
11-Sep-17,21.48,21.48,18.04,18.98,"335,702","26,868,700"
12-Sep-17,19.24,20.09,17.44,19.09,"398,928","24,063,900"
13-Sep-17,18.93,18.93,15.94,17.12,"311,553","23,673,000"
14-Sep-17,17.15,17.49,13.43,13.43,"208,388","21,435,700"
15-Sep-17,13.53,17.18,12.28,17.07,"229,961","16,919,700"
16-Sep-17,17.03,17.03,14.92,15.54,"106,754","21,290,500"
17-Sep-17,15.52,16.81,14.72,16.59,"74,804","19,409,800"
18-Sep-17,16.56,17.95,15.42,16.96,"219,636","20,703,500"
19-Sep-17,17,17,15.31,15.6,"149,142","21,252,800"
20-Sep-17,15.58,16.12,14.75,15.22,"160,192","19,478,000"
21-Sep-17,15.15,15.15,12.78,13.17,"170,853","18,936,100"
22-Sep-17,13.15,13.91,12.73,13.16,"55,768","16,441,500"
23-Sep-17,13,14,12.79,13.73,"124,841","16,252,500"
24-Sep-17,13.73,16.62,13.2,15.53,"686,526","17,157,200"
25-Sep-17,15.53,16.09,14.24,15.34,"287,753","19,416,300"
26-Sep-17,15.38,15.73,14.77,15.15,"143,434","19,222,600"
27-Sep-17,15.03,17.19,14.7,16.91,"277,008","18,785,600"
28-Sep-17,17.02,17.05,14.99,15.42,"125,586","21,268,800"
29-Sep-17,15.41,15.42,14.08,14.73,"135,492","19,254,500"
30-Sep-17,14.73,15.57,14.54,14.56,"69,376","18,409,000"
1-Oct-17,14.72,17.08,13.45,16.36,"298,959","18,394,200"
2-Oct-17,16.36,16.92,13.96,14.79,"467,244","20,440,100"
3-Oct-17,14.95,15.1,13.39,13.81,"149,112","18,683,000"